int(self),plot count (each.state = 'forest'),cycle
0,450,599
1,29,599
2,21,599
3,45,599
4,331,599
5,13,599
6,8,599
7,14,599
8,28,599
9,7,599
0,38,527
1,16,527
2,19,527
3,450,527
4,14,527
5,9,527
6,24,527
7,30,527
8,6,527
9,9,527
0,10,350
1,11,350
2,11,350
3,16,350
4,27,350
5,237,350
6,52,350
7,445,350
8,27,350
9,2,350
10,445,350
11,16,350
12,37,350
13,23,350
14,21,350
15,7,350
16,20,350
17,15,350
18,53,350
19,19,350
20,26,350
21,15,350
22,449,350
23,385,350
24,21,350
25,31,350
26,72,350
27,1,350
28,46,350
29,29,350
30,25,350
31,19,350
32,12,350
33,18,350
34,177,350
35,450,350
36,44,350
37,55,350
38,5,350
39,448,350
40,23,350
41,449,350
42,14,350
43,40,350
44,23,350
45,16,350
46,11,350
47,49,350
48,10,350
49,12,350
50,50,350
51,13,350
52,425,350
53,17,350
54,450,350
55,4,350
56,449,350
57,13,350
58,121,350
59,16,350
60,17,350
61,96,350
62,27,350
63,29,350
64,61,350
65,12,350
66,25,350
67,22,350
68,449,350
69,47,350
70,12,350
71,449,350
72,16,350
73,51,350
74,450,350
75,21,350
76,450,350
77,66,350
78,47,350
79,430,350
80,9,350
81,31,350
82,23,350
83,14,350
84,27,350
85,15,350
86,53,350
87,16,350
88,19,350
89,19,350
90,24,350
91,13,350
92,18,350
93,40,350
94,438,350
95,17,350
96,77,350
97,6,350
98,65,350
99,6,350
100,6,350
101,436,350
102,43,350
103,450,350
104,25,350
105,18,350
106,21,350
107,43,350
108,49,350
109,450,350
110,9,350
111,23,350
112,409,350
113,29,350
114,43,350
115,63,350
116,424,350
117,36,350
118,13,350
119,4,350
120,13,350
121,29,350
122,81,350
123,440,350
124,8,350
125,422,350
126,46,350
127,120,350
128,35,350
129,283,350
130,7,350
131,29,350
132,78,350
133,14,350
134,441,350
135,17,350
136,14,350
137,449,350
138,6,350
139,41,350
140,12,350
141,373,350
142,9,350
143,25,350
144,30,350
145,19,350
146,14,350
147,449,350
148,33,350
149,11,350
150,24,350
151,28,350
152,12,350
153,33,350
154,450,350
155,450,350
156,17,350
157,17,350
158,13,350
159,22,350
160,16,350
161,18,350
162,3,350
163,31,350
164,435,350
165,436,350
166,26,350
167,41,350
168,450,350
169,21,350
170,15,350
171,35,350
172,56,350
173,13,350
174,449,350
175,150,350
176,20,350
177,6,350
178,39,350
179,63,350
180,28,350
181,450,350
182,441,350
183,19,350
184,372,350
185,3,350
186,9,350
187,18,350
188,28,350
189,38,350
190,24,350
191,32,350
192,6,350
193,24,350
194,31,350
195,24,350
196,38,350
197,19,350
198,449,350
199,11,350
